,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
384,Digital Artist,Dashtoon,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,1 week ago,Job
385,Business Development Associate,TripFactory Private Limited,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago,Job
386,Junior Company Secretary (CS),Polymatech Electronics Limited,Chennai,Starts Immediately,"₹ 3,60,000 - 6,00,000",0-5 years,1 week ago,Job
387,Business Development Associate,MANTARA,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2 years,7 days ago,Job
388,Azure Data Factory & Databricks Management,Techdome Solutions Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,5 days ago,Job
389,Executive Assistant To Founder,Shipra Vinay,Bangalore,Starts Immediately,"₹ 3,00,000",0-2 years,1 week ago,Job
390,Media Post-Production Trainee,Pereyan LLP,Bangalore,Starts Immediately,"₹ 2,40,000 - 4,00,000",0-2 years,1 week ago,Job
391,Associate - Content Moderator,Sigma AI,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago,Job
392,Business Development Associate,Jamboree Education Private Limited,Indore,Starts Immediately,"₹ 2,80,000 - 3,80,000",0-2 years,2 weeks ago,Job
393,Product Photography Trainee,Pereyan LLP,Bangalore,Starts Immediately,"₹ 2,40,000 - 4,00,000",0-2 years,1 week ago,Job
394,Junior Video Editor,WhatsTool Tech,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,Job
395,Front Office Coordinator,Disha Skill Training Services,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,20,000",0-1 years,1 week ago,Job
396,Junior Fashion Designer,DAC's Incorporation,Bangalore,Starts Immediately,"₹ 2,00,000 - 30,00,000",0-5 years,7 days ago,Job
397,Influencer Marketing Strategist,Confluencr,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,5 days ago,Job
398,Search Engine Optimization (SEO) Trainee,Pereyan LLP,Bangalore,Starts Immediately,"₹ 2,40,000 - 4,00,000",0-2 years,1 week ago,Job
399,Video Editor,Pereyan LLP,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,10,000",0-2 years,1 week ago,Job
400,Associate Interior Designer,ModScale,Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,6 days ago,Job
401,Marketing Manager,DAC's Incorporation,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,Job
402,Sales Development Representative,SeekThem Private Limited,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,2 weeks ago,Job
403,Digital Marketing Executive,Pereyan LLP,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,1 week ago,Job
404,Business Development Executive,Mohite Consultancy Services (MCS),Koramangala,Starts Immediately,"₹ 2,16,000 - 2,40,000",0-2 years,1 week ago,Job
405,Engagement Strategist,OpeninApp,Bangalore,Starts Immediately,"₹ 2,00,000 - 8,00,000",0-5 years,1 week ago,Job
406,Brand Partnerships Associate,Confluencr,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,6 days ago,Job
407,Business Development Executive,Nerdy Academy,Mumbai,Starts Immediately,"₹ 2,40,000 - 5,80,000",0-5 years,3 weeks ago,Job
408,Junior Lead Generation Associate,Fabulous Media Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,5 days ago,Job
