,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
72,Operations Manager,WhizJuniors,Mumbai,Starts Immediately,"₹ 4,00,000 - 4,20,000",0-2 years,Today,Job
73,Management Trainee,"Chamber Of Commerce, Sustainable Development And Foreign Relations",Delhi,Starts Immediately,"₹ 2,40,000 - 4,60,000",0-2 years,Today,Job
74,Business Development Manager,Daily Flowers India Private Limited,Mumbai,Starts Immediately,"₹ 6,00,000 - 8,00,000",0-5 years,Today,Job
75,Business Development Executive,AMB Logistic,"Nashik, Mumbai, Surat, Bhopal, Indore, Ahmedabad",Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,Today,Job
76,Digital Marketing Executive,Mobavenue Media Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",1-2 years,Today,Job
77,Human Resources (HR) Specialist,Ostello India Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,1 day ago,Job
78,TA Associate,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,Today,Job
79,Assistant Customer Relationship Manager,AKK Corporation,"Chennai, Coimbatore, Bangalore",Starts Immediately,"₹ 2,40,000 - 4,00,000",0-2 years,Today,Job
80,Sales Support Associate,MiM-Essay,Delhi,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 day ago,Job
81,Junior Architect,Kove Design Studio,Noida,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,3 weeks ago,Job
82,Associate Product Designer,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 3,00,000 - 6,00,000",1-3 years,1 day ago,Job
83,Customer Service Executive,ISOMT Foundation,"Greater Noida, Noida",Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 day ago,Job
84,Video Editor,Espangle Consulting,Gurgaon,Starts Immediately,"₹ 4,80,000 - 6,50,000",0-5 years,1 day ago,Job
